Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date,Price_Numeric,Carpet_Area_Numeric,Rate_per_sqft_Numeric,Deposit_Numeric,Floor_Number,Total_Floors,Location_Clean,Price_per_sqft,Total_Rooms,Bath_Bed_Ratio,Floor_Position_Ratio,Is_Top_Floor,Is_Ground_Floor,Size_Category,Furnishing_Score,Has_Balcony,Is_Luxury,Property_Type_Encoded,Posted_By_Encoded,Size_Category_Encoded,Location_Clean_Encoded
"4BHK4BathsIndependent/Builder Floor for Rentin 478 yards brand new floor 4bhk, South Extension 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,₹ 2.5,,,Independent,,4,4,3.0,Semi-Furnished,4302 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:34:06,250000.0,4302.0,,,3.0,4.0,West Delhi Jan 21,58.09900069718801,8,0.8,0.6,0,0,Very Large,1,1,0,1,0,3,22
"4BHK5BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2500 Sq. Ft.- 11th floor (out of 26),₹ 1.25,₹0,"₹ 2,60,000",Apartment/Flat,,4,5,2.0,Semi-Furnished,2500 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:34:21,125000.0,2500.0,,260000.0,11.0,26.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,49.98000799680128,9,1.0,0.4074074074074074,0,0,Very Large,1,1,0,0,0,3,13
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1580 Sq. Ft.- 16th floor (out of 30),"₹ 57,000",₹0,"₹ 1,10,000",Apartment/Flat,,3,2,3.0,Furnished,1580 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:34:36,57000.0,1580.0,,110000.0,16.0,30.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,36.05313092979127,5,0.5,0.5161290322580645,0,0,Large,2,1,0,0,0,0,13
"2BHK2BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyNatural LightAiry RoomsSpacious InteriorsParking AvailableModular KitchenFitness Center/ GymC,₹ 2.5,₹0,,Independent,,2,2,1.0,Furnished,1400 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:34:50,250000.0,1400.0,,,3.0,4.0,West Delhi Jan 21,178.44396859386154,4,0.6666666666666666,0.6,0,0,Medium,2,1,1,1,0,1,22
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 2nd floor (out of ,"₹ 26,000",₹0,,Apartment/Flat,,1,1,2.0,Furnished,361 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:35:01,26000.0,361.0,,,3.0,4.0,Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,71.8232044198895,2,0.5,0.6,0,0,Very Small,2,1,1,0,0,4,16
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1580 Sq. Ft.- 4th floor (out of 26),"₹ 53,000",₹0,"₹ 1,10,000",Apartment/Flat,,3,3,3.0,Furnished,1580 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:35:11,53000.0,1580.0,,110000.0,4.0,26.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,33.523086654016446,6,0.75,0.14814814814814814,0,0,Large,2,1,0,0,0,0,13
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 13th floor (out of 26),"₹ 55,500",₹0,"₹ 1,11,000",Apartment/Flat,,3,2,3.0,Furnished,1753 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:35:28,55500.0,1753.0,,111000.0,13.0,26.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,31.641961231470923,5,0.5,0.48148148148148145,0,0,Large,2,1,0,0,0,0,13
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2278 Sq. Ft.- 20th floor (out of 39),₹ 1.45,₹0,"₹ 2,90,000",Apartment/Flat,,3,3,2.0,Furnished,2278 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:35:44,145000.0,2278.0,,290000.0,20.0,39.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,63.62439666520404,6,0.75,0.5,0,0,Large,2,1,1,0,0,0,13
"3BHK2BathsFlat/Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 1800 Sq. Ft.- 2nd floor (out of 4),"₹ 41,000",₹0,"₹ 82,000",Apartment/Flat,,3,2,2.0,Furnished,1800 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:35:57,41000.0,1800.0,,82000.0,2.0,4.0,West Delhi Jan 21,22.765130483064965,5,0.5,0.4,0,0,Large,2,1,0,0,0,0,22
"3BHK2BathsIndependent/Builder Floor for Rentin Chattarpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyVitrified FlooringPet FriendlyView 6 More Visitor Parking AvailableOn-Call Maintenance StaffF,"₹ 32,000",₹0,"₹ 32,000",Independent,,3,2,2.0,Semi-Furnished,1200 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:36:08,32000.0,1200.0,,32000.0,3.0,4.0,West Delhi Jan 21,26.644462947543712,5,0.5,0.6,0,0,Medium,1,1,0,1,0,1,22
"3BHK2BathsFlat/Apartment for Rentin Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Saraswati Narmada Ganga Yamuna Apartment Vasant Kunj Delhi - 1800 Sq. Ft.- 2nd floo,"₹ 65,000",₹0,"₹ 1,30,000",Apartment/Flat,,3,2,3.0,Furnished,1800 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:36:18,65000.0,1800.0,,130000.0,3.0,4.0,West Delhi Jan 21,36.09106052193226,5,0.5,0.6,0,0,Large,2,1,0,0,0,0,22
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 16th floor (out of 26),"₹ 59,500",₹0,"₹ 1,19,000",Apartment/Flat,,3,3,3.0,Furnished,1753 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:36:34,59500.0,1753.0,,119000.0,16.0,26.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,33.92246294184721,6,0.75,0.5925925925925926,0,0,Large,2,1,0,0,0,0,13
"3BHK3BathsIndependent/Builder Floor for Rentin Preet Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","Block C Preet Vihar,Block E Preet vihar,Block G Preet Vihar,Madhuban Enclave,Anand Vihar,P...MoreAbo","₹ 50,000",,,Independent,,3,3,2.0,Semi-Furnished,1728 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:36:50,50000.0,1728.0,,,3.0,4.0,West Delhi Jan 21,28.91844997108155,6,0.75,0.6,0,0,Large,1,1,0,1,0,0,22
"4BHK3BathsFlat/Apartment for Rentin DDA Flats Sector C Pocket 2, Sector C Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sector C Pocket 2 Sector C Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (o,"₹ 90,000",₹0,,Apartment/Flat,,4,3,3.0,Semi-Furnished,2000 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:37:00,90000.0,2000.0,,,3.0,4.0,West Delhi Jan 21,44.97751124437781,7,0.6,0.6,0,0,Large,1,1,0,0,0,0,22
"3BHK3BathsIndependent/Builder Floor for Rentin Block A Defence Colony, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block A Defence Colony Delhi - 1600 Sq. Ft.- 4th floor (out of 4),₹ 1.6,₹0,,Independent,,3,3,3.0,Semi-Furnished,1600 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:37:15,160000.0,1600.0,,,4.0,4.0,West Delhi Jan 21,99.93753903810119,6,0.75,0.8,1,0,Large,1,1,1,1,0,0,22
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 6th floor (out of 26),"₹ 55,000",₹0,"₹ 1,10,000",Apartment/Flat,,3,2,3.0,Semi-Furnished,1753 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:37:29,55000.0,1753.0,,110000.0,6.0,26.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,31.356898517673887,5,0.5,0.2222222222222222,0,0,Large,1,1,0,0,0,0,13
"3BHK3BathsIndependent/Builder Floor for Rentin E Block RWA Greater Kailash 1, Greater Kailash 1, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block RWA Greater Kailash 1 Greater Kailash 1 Delhi - 1450 Sq. Ft.- 1st floor (out of 2),"₹ 85,000",₹0,,Independent,,3,3,2.0,Furnished,1450 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:37:43,85000.0,1450.0,,,1.0,2.0,West Delhi Jan 21,58.5802894555479,6,0.75,0.3333333333333333,0,0,Medium,2,1,0,1,0,1,22
"5Bedrooms5BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiShortlistProperty added to your shortlistContact DealerFREE STAT",₹ 4,,,Apartment/Flat,,5,5,1.0,Semi-Furnished,8091 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:37:56,400000.0,8091.0,,,3.0,4.0,West Delhi Jan 21,49.431537320810676,10,0.8333333333333334,0.6,0,0,Very Large,1,1,0,0,0,3,22
"3BHK3BathsFlat/Apartment for Rentin B1 Vasant Kunj, Sector B Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in B1 Vasant Kunj Sector B Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (out of 3),₹ 1,₹0,,Apartment/Flat,,3,3,2.0,Semi-Furnished,2000 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:38:08,100000.0,2000.0,,,1.0,3.0,West Delhi Jan 21,49.97501249375313,6,0.75,0.25,0,0,Large,1,1,0,0,0,0,22
"4BHK4BathsIndependent/Builder Floor for Rentin Greater Kailash 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyMarble FlooringView 10 More Visitor Parking AvailableOn-Call Maintenance StaffFeng Shui/ Vaas,₹ 2.3,₹0,,Independent,,4,4,2.0,Furnished,2700 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:38:29,229999.99999999997,2700.0,,,3.0,4.0,West Delhi Jan 21,85.15364679748241,8,0.8,0.6,0,0,Very Large,2,1,1,1,0,3,22
"4BHK4BathsIndependent/Builder Floor for Rentin Vasant Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block MarketGurudwara SahibMunir khan tombGurudwaraState bank of india ATMCGHS Dispensary R.K.Puram ,₹ 4,₹0,"₹ 8,00,000",Independent,,4,4,3.0,Unknown,3000 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:38:42,400000.0,3000.0,,800000.0,3.0,4.0,West Delhi Jan 21,133.2889036987671,8,0.8,0.6,0,0,Very Large,1,1,1,1,0,3,22
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 3rd floor (out of ,"₹ 23,000",₹0,"₹ 46,000",Apartment/Flat,,1,1,2.0,Furnished,361 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:38:53,23000.0,361.0,,46000.0,3.0,4.0,Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,63.53591160220994,2,0.5,0.6,0,0,Very Small,2,1,1,0,0,4,16
"3BHK3BathsIndependent/Builder Floor for Rentin Janakpuri, West Delhi","Paschim Vihar, DelhiEnquire NowContact NowVerifiedSandeep Kumar (Dealer) 08th Se",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,"₹ 65,000",₹0,,Independent,,3,3,1.0,Semi-Furnished,1500 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:39:03,65000.0,1500.0,,,3.0,4.0,Paschim Vihar,43.30446369087275,6,0.75,0.6,0,0,Large,1,1,0,1,0,0,0
