Property_Title,Property_URL,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"4BHK4BathsIndependent/Builder Floor for Rentin 478 yards brand new floor 4bhk, South Extension 2, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-south-extension-2-south-delhi-4302-sq-ft-spid-D84590174,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,₹ 2.5,N/A,N/A,Independent,N/A,4,4,3,Semi-Furnished,4302 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:10:42
"4BHK5BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-2500-sq-ft-spid-Q83479550,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2500 Sq. Ft.- 11th floor (out of 26),₹ 1.25,₹0,"₹ 2,60,000",Apartment/Flat,N/A,4,5,N/A,Semi-Furnished,2500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:10:51
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1580-sq-ft-r1-spid-K81655242,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1580 Sq. Ft.- 16th floor (out of 30),"₹ 57,000",₹0,"₹ 1,10,000",Apartment/Flat,N/A,3,2,3,Furnished,1580 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:11:01
"2BHK2BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi",https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-defence-colony-south-delhi-1400-sq-ft-spid-Y85789692,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyNatural LightAiry RoomsSpacious InteriorsParking AvailableModular KitchenFitness Center/ GymC,₹ 2.5,₹0,N/A,Independent,N/A,2,2,1,Furnished,1400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:11:11
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1580-sq-ft-r1-spid-A81654734,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1580 Sq. Ft.- 4th floor (out of 26),"₹ 53,000",₹0,"₹ 1,10,000",Apartment/Flat,N/A,3,3,3,Furnished,1580 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:11:19
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/studio-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-361-sq-ft-spid-C85850232,Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 2nd floor (out of ,"₹ 26,000",₹0,N/A,Apartment/Flat,N/A,1,1,N/A,Furnished,361 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:11:29
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1753-sq-ft-spid-K85414192,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 13th floor (out of 26),"₹ 55,500",₹0,"₹ 1,11,000",Apartment/Flat,N/A,3,2,3,Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:11:38
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-one-midtown-moti-nagar-west-delhi-2278-sq-ft-spid-A84171830,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2278 Sq. Ft.- 20th floor (out of 39),₹ 1.45,₹0,"₹ 2,90,000",Apartment/Flat,N/A,3,3,2,Furnished,2278 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:11:48
"3BHK2BathsFlat/Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dda-flats-sarita-vihar-sarita-vihar-south-delhi-1800-sq-ft-spid-L85338584,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 1800 Sq. Ft.- 2nd floor (out of 4),"₹ 41,000",₹0,"₹ 82,000",Apartment/Flat,N/A,3,2,2,Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:11:58
"3BHK2BathsIndependent/Builder Floor for Rentin Chattarpur, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-chattarpur-south-delhi-1200-sq-ft-spid-M85136716,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyVitrified FlooringPet FriendlyView 6 More Visitor Parking AvailableOn-Call Maintenance StaffF,"₹ 32,000",₹0,"₹ 32,000",Independent,N/A,3,2,2,Semi-Furnished,1200 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:12:07
